,Unnamed: 0,TIPO_OBSERVACION,CODIGO,CLIMA_AMBIENTAL,PAISAJE,TIPO_RELIEVE,FORMA_TERRENO,MATERIAL_PARENTAL_LITOLOGIA,CLASE_PENDIENTE,PORC_PENDIENTE,REGIMEN_TEMPERATURA,REGIMEN_HUMEDAD,DRENAJE_NATURAL,NIVEL_FREATICO,PROF_NIVEL_FREATICOcm,PROFUNDIDAD_EFECTIVA,LIMITANTES_PROFUNDIDAD_EFECTIVA,TIPO_PEDREGOSIDAD,PORC_PEDREGOSIDAD_SUPERFICIAL_CUBIERTA,CLASE_PEDREGOSIDAD,PORC_AFLORAMIENTO_SUPERFICIE_CUBIERTA,CLASE_AFLORAMIENTO,FASE_INUNDACION_ENCHARCAMIENTO,FRECUENCIA_INUNDACION,DURACION_INUNDACION,FRECUENCIA_ENCHARCAMIENTO,DURACION_ENCHARCAMIENTO,H1_NOMENCLATURA,H1_PROFUNDIDAD_INICIAL,H1_PROFUNDIDAD_FINAL,H1_ESPESOR,H1_RANGO_PROFUNDIDAD,H1_COLOR_MATRIZ_SECO1,H1_COLOR_MATRIZ_HUMEDO1,H1_COLOR_MATRIZ_HUMEDO2,H1_PORC_OBSERVADO_HUMEDO2,H1_MOTEAD_COLOR,H1_MOTEAD_CANTIDAD,H1_TEXTURA,H1_MODIFICADOR_TEXTURA,H1_TIPO_FR_1,H1_FORMA_FR_1,H1_VOLUMEN_POR_CFR_1,H1_TIPO_ESTRUCTURA_1,H1_CLASE_ESTRUCTURA_1,H1_GRADO_ESTRUCTURA,H1_CONSISTENCIA_SECO,H1_CONSISTENCIA_HÚMEDO,H1_CONSIST_MOJADO_PEGJ,H1_CONSIST_MOJADO_PL,H1_REACCION_DIPYRIDYL,H1_REACCION_NaF,H1_REACCION_H2O2,H1_REACCION_HCl,H1_RESULTADO_ph,H2_NOMENCLATURA,H2_PROFUNDIDAD_INICIAL,H2_PROFUNDIDAD_FINAL,H2_ESPESOR,H2_RANGO_PROFUNDIDAD,H2_COLOR_MATRIZ_HUMEDO1,H2_COLOR_MATRIZ_HUMEDO2,H2_PORC_OBSERVADO_HUMEDO2,H2_MOTEAD_COLOR,H2_MOTEAD_CANTIDAD,H2_TEXTURA,H2_MODIFICADOR_TEXTURA,H2_TIPO_FR_1,H2_FORMA_FR_1,H2_VOLUMEN_POR_CFR_1,H2_TIPO_ESTRUCTURA,H2_CLASE_ESTRUCTURA,H2_GRADO_ESTRUCTURA,H2_CONSISTENCIA_SECO,H2_CONSISTENCIA_HÚMEDO,H2_CONSIST_MOJADO_PEGJ,H2_CONSIST_MOJADO_PL,H2_REACCION_DIPYRIDYL,H2_REACCION_NaF,H2_REACCION_H2O2,H2_REACCION_HCl,H2_RESULTADO_ph,H3_NOMENCLATURA,H3_PROFUNDIDAD_INICIAL,H3_PROFUNDIDAD_FINAL,H3_ESPESOR,H3_RANGO_PROFUNDIDAD,H3_COLOR_MATRIZ_HUMEDO1,H3_COLOR_MATRIZ_HUMEDO2,H3_PORC_OBSERVADO_HUMEDO2,H3_MOTEAD_COLOR,H3_MOTEAD_CANTIDAD,H3_TEXTURA,H3_MODIFICADOR_TEXTURA,H3_TIPO_FR_1,H3_FORMA_FR_1,H3_VOLUMEN_POR_CFR_1,H3_TIPO_ESTRUCTURA,H3_CLASE_ESTRUCTURA,H3_GRADO_ESTRUCTURA,H3_CONSISTENCIA_HÚMEDO,H3_CONSIST_MOJADO_PEGJ,H3_CONSIST_MOJADO_PL,H3_REACCION_DIPYRIDYL,H3_REACCION_NaF,H3_REACCION_H2O2,H3_REACCION_HCl,H3_RESULTADO_ph,H4_NOMENCLATURA,H4_PROFUNDIDAD_INICIAL,H4_PROFUNDIDAD_FINAL,H4_ESPESOR,H4_RANGO_PROFUNDIDAD,H4_COLOR_MATRIZ_HUMEDO1,H4_COLOR_MATRIZ_HUMEDO2,H4_PORC_OBSERVADO_HUMEDO2,H4_MOTEAD_COLOR,H4_MOTEAD_CANTIDAD,H4_TEXTURA,H4_MODIFICADOR_TEXTURA,H4_TIPO_FR_1,H4_FORMA_FR_1,H4_VOLUMEN_POR_CFR_1,H4_TIPO_ESTRUCTURA,H4_CLASE_ESTRUCTURA,H4_GRADO_ESTRUCTURA,H4_CONSISTENCIA_HÚMEDO,H4_CONSIST_MOJADO_PEGJ,H4_CONSIST_MOJADO_PL,H4_REACCION_DIPYRIDYL,H4_REACCION_NaF,H4_REACCION_H2O2,H4_REACCION_HCl,H4_RESULTADO_ph,H5_NOMENCLATURA,H5_PROFUNDIDAD_INICIAL,H5_PROFUNDIDAD_FINAL,H5_ESPESOR,H5_RANGO_PROFUNDIDAD,H5_COLOR_MATRIZ_HUMEDO1,H5_COLOR_MATRIZ_HUMEDO2,H5_PORC_OBSERVADO_HUMEDO2,H5_MOTEAD_COLOR,H5_MOTEAD_CANTIDAD,H5_TEXTURA,H5_MODIFICADOR_TEXTURA,H5_TIPO_FR_1,H5_FORMA_FR_1,H5_VOLUMEN_POR_CFR_1,H5_TIPO_ESTRUCTURA,H5_CLASE_ESTRUCTURA,H5_GRADO_ESTRUCTURA,H5_CONSISTENCIA_HÚMEDO,H5_CONSIST_MOJADO_PEGJ,H5_CONSIST_MOJADO_PL,H5_REACCION_DIPYRIDYL,H5_REACCION_NaF,H5_REACCION_H2O2,H5_REACCION_HCl,H5_RESULTADO_ph,H6_NOMENCLATURA,H6_PROFUNDIDAD_INICIAL,H6_PROFUNDIDAD_FINAL,H6_ESPESOR,H6_RANGO_PROFUNDIDAD,H6_COLOR_MATRIZ_HUMEDO1,H6_COLOR_MATRIZ_HUMEDO2,H6_PORC_OBSERVADO_HUMEDO2,H6_MOTEAD_COLOR,H6_MOTEAD_CANTIDAD,H6_TEXTURA,H6_MODIFICADOR_TEXTURA,H6_TIPO_FR_1,H6_FORMA_FR_1,H6_VOLUMEN_POR_CFR_1,H6_TIPO_ESTRUCTURA,H6_CLASE_ESTRUCTURA,H6_GRADO_ESTRUCTURA,H6_CONSISTENCIA_HÚMEDO,H6_CONSIST_MOJADO_PEGJ,H6_CONSIST_MOJADO_PL,H6_REACCION_DIPYRIDYL,H6_REACCION_NaF,H6_REACCION_H2O2,H6_REACCION_HCl,H6_RESULTADO_ph,EPIPEDON,ENDOPEDON_1,ENDOPEDON_2,CLASIFICACION_TAXONOMICA,FAMILIA_TEXTURAL,ORDEN,ORDEN_ELEMENTO_FORMATIVO,SUBORDEN,SUBORDEN_ELEMENTO_FORMATIVO,GRAN_GRUPO,GRAN_GRUPO_ELEMENTO_FORMATIVO,SUBGRUPO,GRADOS_N,MINUTOS_N,SEGUNDOS_N,GRADOS_W,MINUTOS_W,SEGUNDOS_W,LATITUD,LONGITUD,ALTITUD,SUMA ESPESOR,PROFUNDIDAD MAXIMA,FLAG_H1,FLAG_H2,FLAG_H3,FLAG_H4,FLAG_H5,FLAG_H6,N_HORIZONS
3692,3692,Cajuela,LS-054,muy frio humedo,Montaña,Crestón,Frente,Ceniza_volcánica,fuertemente inclinada,12 - 25,isomesico,udico,Bien_drenado,No_aparece,,Profunda_(100cm-150cm),Sin_limitaciones,No_hay,,,No_hay,,No_hay,,,,,Ap,0,30,30,0 - 30,,10YR2/2,,0.0,,,franco_limosa,,No_hay,,0,,,,,,no_pegajosa,No_plástica,,Ligera,,,4,A,30.0,73,43.0,30 - 73,10YR2/1,,0,,,franco_limosa,,No_hay,,0,,,,,,no_pegajosa,No_plástica,,Ligera,,,4,Bw,73.0,121,48.0,73 - 121,10YR3/2,,0.0,,,franco_arcillo_limosa,,No_hay,,0,,,,,ligeramente_pegajosa,Ligeramente_plástica,,No_hay,,,4,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,Melánico,Cámbico,No hay,Pachic_Melanudands,Medial,Andisol,ANDS,udands,UD,melanudands,MELAN,Pachic,5,14,6.1,73,44,41.3,5.235027777777778,-73.74480555555556,3075.0,121,121,1,1,1,0,0,0,3
6454,6454,Cajuela,CMA-107*,muy frio humedo,Montaña,Crestón,Revés,Lodolitas_y_limolitas_cubiertas_parcialmente_con_ceniza_volcánica,moderadamente inclinada,7 - 12,isomesico,udico,Bien_drenado,No_aparece,,Muy_profunda_(>150cm),,No_hay,No_hay,No_hay,,,No_hay,,,,,Ap,0,22,22,0 - 22,,10YR3/2,No hay,,No hay,,franco_arcillosa,,,,,,,,,,,,No_hay,No_hay,No_hay,No_hay,"4,5",Bw,22.0,33,11.0,22 - 33,10YR4/1,No hay,,No hay,,franco_arcillo_limosa,,,,,,,,,,,,No_hay,No_hay,No_hay,No_hay,"4,5",C1,33.0,50,17.0,33 - 50,10YR6/1,No hay,,No hay,No hay,arcillosa,,,,,,,,,,,No_hay,No_hay,No_hay,No_hay,"4,5",C2,50,152,102.0,50 - 152,10YR6/2,No hay,,,,arcillosa,,,,,,,,,,,No_hay,No_hay,No_hay,No_hay,,C2,152,X,,152 - X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hístico,Cámbico,No hay,Typic_Dystrudepts,Franca_fina,Inceptisol,EPTS,udepts,UD,dystrudepts,DYSTR,Typic,4,14,5.4,74,16,46.7,4.234833333333333,-74.27963888888888,3350.0,152,152,1,1,1,1,1,0,5
11349,11349,Cajuela,WH-122,muy frio humedo,Montaña,Espinazo,Revés,Arcillolitas_cubiertas_parcialmente_por_ceniza_volcánica,moderadamente escarpada o moderadamente empinada,50 - 75,isomesico,udico,Bien_drenado,No_aparece,,Moderadamente_profunda_(75cm-100cm),Fragmentos_de_roca_(>60%_por_volumen),No_hay,,,,No_hay,No_hay,,,,,A1,0,21,21,0 - 21,,10YR2/1,No hay,0.0,,,franca,,No_hay,,0,Bloques_subangulares,Fina,Débil,,Friable,no_pegajosa,No_plástica,,Violenta,,,"5,0",A2,21.0,52,31.0,21 - 52,10YR2/1,No hay,0.0,,,franca,,Piedra,Irregular,25,Bloques_subangulares,Fina,Débil,,Friable,no_pegajosa,No_plástica,,Violenta,,,5.5,C,52.0,55,3.0,52 - 55,,,0,,,,,Piedra,Irregular,95,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0,,,,,,,,,,,,Úmbrico,No hay,,Andic_Humudepts,Arcillosa_sobre_fragmental,Inceptisol,EPTS,udepts,UD,humudepts,HUM,Andic,5,20,53.48,73,38,0.27,5.348188888888888,-73.63340833333334,3349.0,55,55,1,1,1,0,0,0,3
10523,10523,Cajuela,LAS-212,muy frio humedo,Montaña,Manto_coluvial,Cuerpo,Depósitos_coluviales_finos,fuertemente inclinada,12 - 25,isomesico,udico,Bien_drenado,No_aparece,,Moderadamente_profunda_(75cm-100cm),Fragmentos_de_roca_(>60%_por_volumen),No_hay,,,No_hay,No_hay,No_hay,,,,,Ap,0,28,28,0 - 28,,10YR3/3,,0.0,,,franco_arcillosa,,Gravilla_fina_a_media,Irregular,5,Bloques_subangulares,Fina,Moderada,,Friable,ligeramente_pegajosa,Ligeramente_plástica,,No_hay,,,5,A,28.0,48,20.0,28 - 48,10YR3/2,,0.0,,,franco_arcillosa,,Cascajo,Irregular,15,Bloques_subangulares,Fina_y_media,Moderada,,Friable,ligeramente_pegajosa,Ligeramente_plástica,,No_hay,,,5,Bw,48.0,76,28.0,42 - 76,10YR5/4,,0,,,franco_arcillosa,,Gravilla_fina_a_media,Irregular,20,,,,,ligeramente_pegajosa,Ligeramente_plástica,,No_hay,,,4.5,Cr,76,100,24.0,76 - 100,,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0,,,,,,,,,,,,Úmbrico,Cámbico,No hay,Typic_Humudepts,Franca_fina,Inceptisol,EPTS,udepts,UD,humudepts,HUM,Typic,5,4,41.13,74,4,42.6,5.078091666666666,-74.07849999999999,3180.0,100,100,1,1,1,1,0,0,4
4526,4526,Cajuela,WH-142,muy frio humedo,Montaña,Espinazo,Revés,Ceniza_volcánica,ligeramente escarpada o ligeramente empinada,25 - 50,isomesico,udico,Bien_drenado,No_aparece,,Profunda_(100cm-150cm),Sin_limitaciones,No_hay,,,,No_hay,No_hay,,,,,A1,0,32,32,0 - 32,,10YR2/1,No hay,0.0,,,franca,,No_hay,,0.0,Bloques_subangulares,Fina,Débil,,Friable,no_pegajosa,No_plástica,,Violenta,,,5,A2,32.0,58,26.0,32 - 58,10YR2/1,No hay,0,,,franco_limosa,,No_hay,,0,Bloques_subangulares,Fina_y_media,Débil,,Friable,no_pegajosa,No_plástica,,Violenta,,,5,A3,58.0,110,52.0,58 - 110,10YR2/2,No hay,0.0,,,franco_arcillo_limosa,,No_hay,,0,,,,,ligeramente_pegajosa,Ligeramente_plástica,,Violenta,,,4.5,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,Melánico,No hay,,Pachic_Melanudands,Medial,Andisol,ANDS,udands,UD,melanudands,MELAN,Pachic,5,9,20.26,73,37,32.6,5.155627777777778,-73.62572222222222,2913.0,110,110,1,1,1,0,0,0,3
10825,10825,Cajuela,MV-078,frio humedo muy humedo,Montaña,Loma,Ladera,Areniscas_y_limolitas_cubiertas_parcialmente_por_ceniza_volcánica,fuertemente inclinada,12 - 25,isomesico,udico,Bien_drenado,No_aparece,,Muy_superficial_(<25cm),Toxicidad_mineral,No_hay,,,No_hay,,No_hay,,,,,A,0,32,32,0 - 32,,10YR2/1,,0.0,,,franco_limosa,,No_hay,,0,,,,,Friable,no_pegajosa,Ligeramente_plástica,,Fuerte,,,4.5,Bw,32.0,75,43.0,32 - 75,10YR6/4,10YR5/6,10.0,,,franco_arcillo_limosa,,No_hay,,0,,,,,Friable,ligeramente_pegajosa,Ligeramente_plástica,,Violenta,,,4.5,BC,75.0,120,45.0,75 - 120,10YR5/3,10YR5/8,15,,,arcillo_limosa,,No_hay,,0,,,,Friable,pegajosa,Plástica,,Violenta,,,5,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0,,,,,,,,,,,,Úmbrico,Cámbico,No hay,Andic_Humudepts,Franca,Inceptisol,EPTS,udepts,UD,humudepts,HUM,Andic,4,54,48,73,42,18,4.913333333333334,-73.705,2830.0,120,120,1,1,1,0,0,0,3
10824,10824,Cajuela,MV-077,frio humedo muy humedo,Montaña,Loma,Ladera,Areniscas_y_limolitas_cubiertas_parcialmente_por_ceniza_volcánica,fuertemente inclinada,12 - 25,isomesico,udico,Bien_drenado,No_aparece,,Muy_superficial_(<25cm),Toxicidad_mineral,No_hay,,,No_hay,,No_hay,,,,,A1,0,23,23,0 - 23,,10YR2/1,,0.0,,,franca,,No_hay,,0,Bloques_subangulares,Fina_y_media,Moderada,,Friable,no_pegajosa,Ligeramente_plástica,,Fuerte,,,4.5,A2,23.0,38,15.0,23 - 38,10YR3/1,,0.0,,,franco_limosa,,No_hay,,0,Bloques_subangulares,Fina_y_media,Moderada,,Friable,ligeramente_pegajosa,Ligeramente_plástica,,Violenta,,,4.5,Bw,38.0,83,45.0,38 - 83,10YR6/4,10YR5/6,5,,,franco_arcillo_limosa,,No_hay,,0,Bloques_subangulares,Media,Moderada,Friable,ligeramente_pegajosa,Ligeramente_plástica,,Violenta,,,5,BC,83,120,37.0,83 - 120,10YR5/3,10YR5/6,10.0,,,franco_arcillo_limosa,,No_hay,,0,,,,Friable,pegajosa,Ligeramente_plástica,,Violenta,,,5,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0,,,,,,,,,,,,Úmbrico,Cámbico,No hay,Andic_Humudepts,Franca,Inceptisol,EPTS,udepts,UD,humudepts,HUM,Andic,4,54,49,73,42,25,4.913611111111112,-73.70694444444445,2838.0,120,120,1,1,1,1,0,0,4
6810,6810,Cajuela,LN-016,templado humedo muy humedo,Montaña,Crestón,Frente,Arcillolitas_y_lutitas,ligeramente escarpada o ligeramente empinada,25 - 50,isotermico,udico,Bien_drenado,No_aparece,,Profunda_(100cm-150cm),Sin_limitaciones,Piedra,3-15,Mediana,No_hay,,No_hay,,,,,Ap,0,18,18,0 - 18,,10YR4/4,,,,,franco_arcillosa,,No_hay,,,Bloques_angulares,Media,Moderada,,Friable,ligeramente_pegajosa,Ligeramente_plástica,,,,,5.5,Bw1,18.0,40,22.0,18 - 40,10YR5/6,7.5YR5/6,20,,,arcillosa,,No_hay,,,Bloques_angulares,Media,Moderada,,Friable,pegajosa,Plástica,,,,,5,Bw2,40.0,75,35.0,40 - 75,10YR6/6,7.5YR5/6,20.0,,,arcillosa,,No_hay,,0,Bloques_subangulares,Media,Moderada,Friable,pegajosa,Plástica,,,,,5,C,75,90,15.0,75 - 90,7.5YR6/6,5YR5/6,20.0,,,arcillosa,,No_hay,,,,,,Firme,pegajosa,Plástica,,,,,5,C,90,X,,90 - X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ócrico,Cámbico,No hay,Typic_Dystrudepts,Fina,Inceptisol,EPTS,udepts,UD,dystrudepts,DYSTR,Typic,5,6,18,74,36,26,5.105,-74.60722222222222,1054.0,90,90,1,1,1,1,1,0,5
3877,3877,Cajuela,MV-188,muy frio humedo,Montaña,Loma,Ladera,Ceniza_volcánica,fuertemente inclinada,12 - 25,isomesico,udico,Bien_drenado,No_aparece,,Profunda_(100cm-150cm),Sin_limitaciones,No_hay,,,,No_hay,No_hay,,,,,A1,0,29,29,0 - 29,,10YR2/1,No hay,0.0,,,franco_limosa,,No_hay,,0,Bloques_subangulares,Fina_y_media,Débil,,Friable,no_pegajosa,Ligeramente_plástica,,Fuerte,,,4,A2,29.0,50,21.0,29 - 50,10YR3/1,No hay,0,,,franco_limosa,,No_hay,,0,Bloques_subangulares,Fina_y_media,Moderada,,Friable,no_pegajosa,Ligeramente_plástica,,Fuerte,,,4,C1,50.0,98,48.0,50 - 98,10YR6/2,No hay,0.0,,,arcillosa,,No_hay,,0,,,,,ligeramente_pegajosa,Ligeramente_plástica,,Fuerte,,,4.5,C2,98.0,120,22.0,98 - 120,10YR8/2,No hay,0.0,,,arcillosa,,No_hay,,0,,,,,ligeramente_pegajosa,Ligeramente_plástica,,Fuerte,,,4.5,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,Melánico,No hay,,Pachic_Melanudands,Medial,Andisol,ANDS,udands,UD,melanudands,MELAN,Pachic,5,13,28,73,32,7,5.224444444444445,-73.53527777777778,3270.0,120,120,1,1,1,1,0,0,4
8940,8940,PERFIL,CC-202,muy frio muy humedo,Montaña,Vallecito_glaci-fluvial,,Depósito_clástico_glaciogénico,ligeramente inclinada,3 - 7,isofrigido,udico,Moderadamente_bien_drenado,No_aparece,,Superficial_(25cm-50cm),Fragmentos_de_roca_(>60%_por_volumen),No_hay,<0.1,No_hay,No_hay,,No_hay,,,,,Ap,0,18,18,0 - 18,,10YR 2/1,,,,,franca_arenosa,,,,0,Bloques_subangulares,Fina_y_media,Moderada,,Friable,pegajosa,Plástica,,,,,5,Bw,18.0,41,23.0,18 - 41,7.5YR2/0,,,,,arenosa_franca,,,,0,Bloques_subangulares,Fina_y_media,Débil,,Friable,no_pegajosa,No_plástica,,Ligera,,,5.1,C1,41.0,60,19.0,41 - 60,10YR3/1,,,,,franca_arenosa,Gravillosa_(15_35),,,,Grano_suelto_(sin_estructura),,,Suelta,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Úmbrico,Cámbico,,Typic_Humudepts,,Inceptisol,EPTS,udepts,UD,humudepts,HUM,Typic,4,43,47,73,49,39,4.729722222222223,-73.8275,3250.0,60,60,1,1,1,0,0,0,3
10330,10330,Cajuela,JF-204,muy frio humedo,Montaña,Espinazo,Frente,Arcillolitas_y_limolitas_cubiertas_parcialmente_con_ceniza_volcánica,ligeramente escarpada o ligeramente empinada,25 - 50,isomesico,udico,Bien_drenado,No_aparece,,Profunda_(100cm-150cm),Sin_limitaciones,No_hay,,,,No_hay,No_hay,,,,,A,0,40,40,0 - 40,,10YR2/1,No hay,0.0,,,franca,,No_hay,,0,Bloques_subangulares,Media_y_gruesa,Moderada,,Friable,no_pegajosa,No_plástica,,Ligera,,,4.5,Bw,40.0,72,32.0,40 - 72,10YR3/2,No hay,0.0,,,franco_arcillo_arenosa,,No_hay,,0,Bloques_subangulares,Gruesa,Fuerte,,Friable,ligeramente_pegajosa,Ligeramente_plástica,,Violenta,,,5.5,C,72.0,100,28.0,72 - 100,10YR6/6,No hay,0,,,arcillo_arenosa,,No_hay,,0,,,,,pegajosa,Ligeramente_plástica,,Fuerte,,,5.5,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0,,,,,,,,,,,,Úmbrico,Cámbico,,Andic_Humudepts,Franca_fina_sobre_arcillosa,Inceptisol,EPTS,udepts,UD,humudepts,HUM,Andic,5,7,12.3,73,37,14.628,5.120083333333333,-73.62073,3171.0,100,100,1,1,1,0,0,0,3
4874,4874,PERFIL,AC-014,frio seco,Planicie,Plano_de_inundación,,Depósito_clástico_hidrogénico,ligeramente plana,1 - 3,isomesico,acuico,Muy_pobre,Fluctuante,,Muy_superficial_(<25cm),Nivel_freático,No_hay,<0.1,No_hay,No_hay,,i,Frecuente,Larga,,,Ap,0,15,15,0 - 15,,10YR4/2,,,,,arcillosa,,,,0.0,Granular,Muy_fina_y_fina,Débil,,Suelta,pegajosa,Plástica,,,,,5.4,Cg1,15.0,37,22.0,15 - 37,2.5Y4/1,7.5YR4/4,15,,,arcillosa,,,,0,Masivo_(sin_estructura),,,,Firme,pegajosa,Plástica,,,,,5.9,Cg2,37.0,120,83.0,37 - 120,2.5Y4/1,7.5YR4/4,25.0,,,arcillosa,,,,,Masivo_(sin_estructura),,,Muy_firme,ligeramente_pegajosa,Plástica,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Ócrico,No hay,,Typic_Epiaquents,,Entisol,ENTS,aquents,AQU,epiaquents,EPI,Typic,4,41,22,74,16,51,4.689444444444445,-74.28083333333333,2450.0,120,120,1,1,1,0,0,0,3
2250,2250,Cajuela,CB-251,muy frio humedo,Montaña,Loma,Ladera,Ceniza_volcánica,fuertemente inclinada,12 - 25,isomesico,udico,Bien_drenado,No_aparece,,Moderadamente_profunda_(75cm-100cm),Contacto_dénsico,No_hay,,,No_hay,No_hay,No_hay,,,,,Ap,0,23,23,0 - 23,,10YR2/2,,0.0,,,franco_limosa,,Gravilla_gruesa,Irregular,10,Granular,Muy_fina,Débil,,Muy_friable,no_pegajosa,No_plástica,,Fuerte,,,6,A,23.0,85,62.0,23 - 85,10YR2/2,,0,,,franco_arcillo_arenosa,,No_hay,,0,Bloques_subangulares,Fina_y_media,Débil,,Friable,ligeramente_pegajosa,Ligeramente_plástica,,Fuerte,,,5,C,85.0,95,10.0,85 - 95,7.5YR6/8,10YR5/4,50.0,,,franco_arcillo_arenosa,,,,0,,,,,no_pegajosa,No_plástica,,Ligera,,,5,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,Melánico,No hay,,Acrudoxic_Melanudands,Medial,Andisol,ANDS,udands,UD,melanudands,MELAN,Acrudoxic,5,17,32.4,73,55,58.9,5.292333333333334,-73.93302777777778,3109.0,95,95,1,1,1,0,0,0,3
1346,1346,Cajuela,SB-089,muy frio humedo muy humedo,Montaña,Loma,Ladera,Ceniza_volcánica,moderadamente escarpada o moderadamente empinada,50 - 75,isomesico,udico,Bien_drenado,No_aparece,,Muy_superficial_(<25cm),Contacto_lítico,No_hay,,,No_hay,,No_hay,,,,,A,0,20,20,0 - 20,,10YR2/1,,0.0,,,franco_arcillosa,,Cascajo,Irregular,30,,,,,Friable,ligeramente_pegajosa,Ligeramente_plástica,,Ligera,,,5,R,20.0,X,,20 - X,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,Úmbrico,No hay,No hay,Lithic_Hapludands,Medial,Andisol,ANDS,udands,UD,hapludands,HAPL,Lithic,4,54,17,73,44,40,4.904722222222222,-73.74444444444444,3031.0,20,20,1,1,0,0,0,0,2
2582,2582,Cajuela,CP-316,muy frio humedo,Montaña,Espinazo,Frente,Ceniza_volcánica,fuertemente escarpada o fuertemente empinada,>75,isomesico,udico,Bien_drenado,No_aparece,,Profunda_(100cm-150cm),Sin_limitaciones,Piedra,3-15,Poca,2-10,Poca,No_hay,,,,,Ap,0,24,24,0 - 24,,7.5YR2.5/1,,0.0,,,arcillo_limosa,,Gravilla_fina_a_media,Angular,10,Bloques_subangulares,Fina_y_media,Fuerte,,Friable,pegajosa,Ligeramente_plástica,,Ligera,,,6,A1,24.0,50,26.0,24 - 50,10YR2/2,,0,,,arcillo_limosa,,No_hay,,0,Bloques_subangulares,Fina_y_media,Fuerte,,Friable,pegajosa,Ligeramente_plástica,,Ligera,,,5,A2,50.0,92,42.0,50 - 92,5YR2.5/1,5YR4/6,2.0,,,arcillo_limosa,,No_hay,,0,,,,,pegajosa,Ligeramente_plástica,,Ligera,,,5.5,A3,92.0,120,28.0,92 - 120,7.5YR3/2,,0.0,,,arcillo_limosa,,No_hay,,0,,,,,pegajosa,Ligeramente_plástica,,No_hay,,,5,A3,120,X,,120 - X,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,Melánico,No hay,,Pachic_Melanudands,Medial,Andisol,ANDS,udands,UD,melanudands,MELAN,Pachic,5,23,46.8,73,51,24.1,5.396333333333334,-73.85669444444444,3310.0,120,120,1,1,1,1,1,0,5
